2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Kayle        46.32%    611
    Sylas        46.30%   5788
    Tryndamere   46.29%    445
    Gnar         46.26%    227
    Gwen         46.24%    997
    Belveth      46.22%    556
    Samira       46.19%   2007
    Twitch       46.18%   1793
    Leblanc      46.16%   2682
    Shaco        46.11%   3138
    Singed       46.10%    295
    Varus        46.08%   3071
    Darius       45.87%   1210
    Camille      45.75%    341
    Renata       45.74%    551
    Pyke         45.61%   2800
    Yunara       45.60%   1294
    Orianna      45.56%   2004
    Yuumi        45.48%   2414
    Blitzcrank   45.44%   2566
    Zed          44.87%   4032
    Quinn        44.62%    372
    Nasus        44.48%    724
    Olaf         44.28%    201
    Gangplank    44.12%    306
    Yone         43.81%   3100
    Aatrox       43.44%    633
    Renekton     43.43%    449
    Qiyana       43.37%    754
    Rengar       43.36%    738
    Azir         43.17%   1267
    Kalista      42.68%    656
    Skarner      41.80%    567
    Fiora        41.44%    222
    KSante       35.33%    317


# Amumu
                  win%   matches
    AurelionSol  56.70%   1866
    Taric        56.39%    743
    Milio        56.18%   2517
    Kled         55.86%    922
    Nilah        55.71%   1217
    Evelynn      55.62%    178
    Nami         55.15%   4430
    Yorick       55.12%   3625
    Trundle      55.08%   2460
    Velkoz       54.74%   2669
    Sett         54.70%   6040
    Zyra         54.65%   3140
    Malzahar     54.62%   4707
    Heimerdinger 54.58%   1887
    Olaf         54.58%    960
    Swain        54.45%   3574
    Quinn        54.36%   1617
    Soraka       54.34%   2175
    Sivir        54.09%   2799
    KogMaw       54.06%   1380
    Briar        54.03%    509
    Seraphine    53.96%   3436
    MissFortune  53.92%  11976
    Twitch       53.86%   2835
    Irelia       53.84%   3941
    Kayle        53.83%   3069
    Illaoi       53.81%   2215
    Brand        53.80%   3701
    Morgana      53.61%   4898
    Urgot        53.61%   2190
    TahmKench    53.40%   2927
    Fiora        53.32%   1930
    Garen        53.31%   5040
    Teemo        53.28%   4874
    Anivia       53.28%   1250
    Taliyah      53.25%    830
    Veigar       53.21%   4631
    Aurora       53.20%   2201
    Zilean       53.20%   1126
    Bard         53.11%   1222
    Warwick      53.09%   2055
    Jinx         53.05%  10284
    Lux          52.93%  10881
    Sejuani      52.92%    291
    Kassadin     52.89%    813
    Naafiri      52.81%   1528
    Galio        52.80%   3068
    Diana        52.72%   2817
    Senna        52.66%   4780
    Mordekaiser  52.65%   4718
    Vex          52.64%   2407
    RekSai       52.63%     95
    Darius       52.59%   5396
    Annie        52.56%   1560
    Rell         52.55%   1846
    Nocturne     52.51%    678
    Jhin         52.49%  10412
    Ziggs        52.47%   1700
    Nasus        52.46%   3271
    Yasuo        52.45%   8008
    Akshan       52.44%   1619
    Tryndamere   52.35%   2273
    Samira       52.34%   3888
    Hecarim      52.33%    172
    Chogath      52.32%   2825
    Xerath       52.29%   4127
    Draven       52.29%   2360
    Pantheon     52.24%   4474
    Viktor       52.21%   3532
    Lulu         52.13%   4347
    Shen         52.12%   2661
    Volibear     52.08%   2719
    Ornn         52.08%   1492
    DrMundo      52.08%   3443
    XinZhao      52.07%    605
    Ekko         52.04%   2229
    Riven        52.02%   2084
    Vladimir     51.95%   2739
    Amumu        51.95%  115123
    Kaisa        51.90%   8169
    Lucian       51.86%   4859
    Neeko        51.84%   2093
    Yuumi        51.83%   2738
    Zeri         51.83%   1671
    Orianna      51.81%   2156
    Aatrox       51.81%   4152
    Vayne        51.78%   5666
    Akali        51.75%   4926
    Hwei         51.73%   2826
    Syndra       51.69%   2488
    Leona        51.68%   3874
    Fizz         51.67%   2748
    Janna        51.67%   1349
    Ambessa      51.64%   1861
    Malphite     51.62%   4456
    Renekton     51.61%   3104
    Ryze         51.52%   1708
    Alistar      51.48%   1661
    MonkeyKing   51.40%    961
    Viego        51.28%    858
    Khazix       51.23%    367
    Ivern        51.22%    164
    Gwen         51.22%   1892
    Tristana     51.17%   5013
    Xayah        51.16%   2318
    Caitlyn      51.13%  11596
    Cassiopeia   51.10%   1223
    Pyke         51.10%   3601
    Sona         51.07%   1588
    Yone         51.00%   8576
    Thresh       50.98%   5022
    Lillia       50.93%    377
    Aphelios     50.88%   2441
    Jax          50.87%   3373
    Sion         50.80%   2628
    Corki        50.78%   1479
    Ahri         50.78%   5286
    Karma        50.69%   3275
    Kindred      50.67%    223
    Talon        50.66%   1583
    Sylas        50.65%   5299
    Zac          50.60%    672
    Poppy        50.59%   1702
    Nautilus     50.39%   4314
    Gnar         50.36%   1670
    Jayce        50.33%   2394
    Braum        50.33%   2245
    Smolder      50.29%   5166
    Zoe          50.28%   1597
    Katarina     50.26%   3689
    Fiddlesticks 50.24%    842
    Ashe         50.18%   6622
    Gangplank    50.03%   1975
    Shaco        50.00%   1626
    Singed       49.90%   1012
    Maokai       49.87%   1560
    Renata       49.86%    690
    Elise        49.68%    622
    Mel          49.67%   5410
    Leblanc      49.66%   2974
    Qiyana       49.66%   1033
    Yunara       49.63%   1475
    Graves       49.57%    579
    Blitzcrank   49.49%   2869
    Rumble       49.37%   1035
    Kennen       49.37%   1505
    Ezreal       49.21%   8186
    Rakan        49.15%   1650
    Zed          49.09%   5144
    Varus        48.80%   3736
    Lissandra    48.36%   1551
    Rengar       48.06%    310
    MasterYi     48.01%    702
    TwistedFate  47.91%   2079
    Camille      47.73%   1498
    LeeSin       47.70%   1239
    Azir         47.65%   1362
    Shyvana      47.45%    255
    Vi           47.40%    481
    Belveth      47.37%    133
    Udyr         47.36%    473
    KSante       47.33%   1481
    Kayn         47.19%    801
    JarvanIV     47.10%    552
    Nidalee      46.91%    469
    Kalista      46.33%    980
    Karthus      45.97%    372
    Gragas       45.61%   1480
    Nunu         43.11%    283
    Skarner      42.61%    176
    Rammus       41.26%    269


# Anivia
                  win%   matches
    Velkoz       57.20%    708
    Sona         55.38%    502
    Taric        55.37%    298
    Nasus        55.16%   1356
    Urgot        54.75%    811
    Maokai       54.67%    803
    Kalista      54.40%    375
    Xerath       54.32%   1110
    TahmKench    53.89%   1145
    Nami         53.77%   1726
    Volibear     53.73%   2049
    Warwick      53.73%   2252
    Nilah        53.70%    473
    Ivern        53.60%    278
    Ornn         53.50%    800
    Sett         53.49%   2238
    Belveth      53.41%    498
    Shyvana      53.37%    564
    Malphite     53.31%   1675
    Amumu        53.28%   1250
    Briar        53.27%   1194
    Nocturne     53.21%   2195
    Singed       53.21%    436
    MonkeyKing   53.20%   1359
    Soraka       53.12%    898
    Kindred      53.08%    827
    Sivir        53.05%   1525
    Kayle        53.04%    856
    Brand        53.02%    977
    Quinn        52.99%    536
    Janna        52.94%    595
    XinZhao      52.88%   1530
    Jayce        52.85%   1192
    Annie        52.75%    218
    Garen        52.74%   1858
    Rammus       52.74%    565
    Renata       52.67%    281
    Yuumi        52.66%   1276
    RekSai       52.65%    264
    Gangplank    52.60%    867
    Zyra         52.52%   1070
    Lulu         52.47%   2089
    Vi           52.46%   1563
    JarvanIV     52.44%   1699
    Jhin         52.40%   4765
    Leona        52.20%   1548
    Khazix       52.18%   1604
    Braum        52.17%   1242
    Riven        52.12%    942
    Lucian       52.10%   2505
    Draven       52.00%    875
    Aatrox       51.99%   2185
    Tristana     51.96%   1861
    Pantheon     51.94%   2403
    Aphelios     51.92%   1069
    Udyr         51.91%    682
    Jinx         51.89%   4107
    Jax          51.86%   1851
    Rell         51.83%    845
    Alistar      51.81%    886
    Vex          51.80%    222
    Caitlyn      51.79%   4460
    Viego        51.78%   3055
    Milio        51.70%   1058
    Sylas        51.70%   1176
    Shen         51.69%   1275
    Teemo        51.58%   1805
    Thresh       51.58%   2472
    Fiddlesticks 51.57%    762
    Elise        51.48%    744
    Camille      51.47%    781
    Nautilus     51.43%   1958
    DrMundo      51.37%   1610
    Diana        51.34%   1379
    Tryndamere   51.33%    904
    Kayn         51.32%   2387
    Yorick       51.31%   1528
    Rakan        51.30%    768
    Irelia       51.28%   1092
    Trundle      51.23%   1624
    Vladimir     51.23%    529
    Anivia       51.22%  49842
    Zeri         51.19%    797
    Kled         51.19%    336
    MasterYi     51.17%   1958
    Mordekaiser  51.17%   1792
    Corki        51.14%    571
    Smolder      51.14%   2155
    Pyke         51.09%   1380
    Renekton     51.02%   1423
    Bard         51.01%    594
    Azir         50.98%    153
    Heimerdinger 50.91%    497
    Ezreal       50.86%   4139
    Fiora        50.85%    883
    Graves       50.85%   1945
    Zilean       50.84%    474
    Sion         50.82%   1216
    Neeko        50.81%    614
    Hwei         50.81%    431
    Samira       50.79%   1264
    Swain        50.79%   1081
    Senna        50.74%   1886
    Zac          50.72%    976
    Kaisa        50.70%   3633
    MissFortune  50.67%   3576
    Lux          50.67%   2761
    Akshan       50.67%    225
    Naafiri      50.66%    981
    Karthus      50.64%    391
    Chogath      50.59%   1182
    Morgana      50.54%   1468
    KogMaw       50.52%    477
    Karma        50.50%   1511
    Xayah        50.40%   1119
    Illaoi       50.36%    842
    LeeSin       50.29%   3607
    Twitch       50.27%   1130
    Ashe         50.18%   2812
    Vayne        50.16%   2223
    Darius       50.04%   2388
    Poppy        50.04%   1333
    Talon        49.82%    831
    Malzahar     49.68%    469
    Yunara       49.65%    711
    Ziggs        49.62%    393
    Rengar       49.60%    621
    Seraphine    49.59%    982
    Ekko         49.55%   1104
    Blitzcrank   49.43%   1226
    Evelynn      49.34%    533
    Ryze         49.24%    262
    Ahri         49.08%    542
    Shaco        48.96%   1975
    Hecarim      48.93%    793
    Lissandra    48.90%    227
    Galio        48.84%    516
    Zoe          48.75%    279
    Gwen         48.73%    983
    Zed          48.71%   1548
    Yasuo        48.62%   1481
    Kassadin     48.61%     72
    Viktor       48.61%    432
    Yone         48.58%   1933
    Akali        48.55%    653
    Ambessa      48.31%   1006
    Lillia       48.30%    942
    Orianna      48.24%    255
    KSante       48.16%    899
    TwistedFate  48.11%    397
    Leblanc      48.02%    454
    Gragas       47.84%    834
    Olaf         47.30%    482
    Skarner      47.22%    432
    Sejuani      47.22%    790
    Varus        47.09%   1635
    Fizz         46.99%    266
    Veigar       46.79%    592
    Nunu         46.71%    638
    AurelionSol  46.70%    227
    Nidalee      46.68%    782
    Gnar         46.57%    846
    Mel          46.37%   1128
    Aurora       45.98%    348
    Rumble       45.89%    401
    Cassiopeia   45.62%    160
    Katarina     45.51%    301
    Taliyah      44.93%    207
    Syndra       44.44%    234
    Kennen       44.35%    363
    Qiyana       43.84%    219


# Annie
                  win%   matches
    Lissandra    58.30%    223
    Milio        56.40%   1383
    Maokai       54.39%    888
    Vex          54.18%    251
    Illaoi       54.14%   1038
    Trundle      54.12%   2197
    Quinn        54.09%    684
    Sett         53.92%   3292
    Nasus        53.90%   1848
    DrMundo      53.86%   2343
    Briar        53.83%   1553
    Taric        53.82%    353
    Sivir        53.77%   1778
    Zilean       53.76%    625
    MasterYi     53.65%   2660
    Sona         53.64%    686
    MonkeyKing   53.64%   1609
    Khazix       53.60%   2069
    Nocturne     53.57%   2910
    Neeko        53.36%    849
    Kennen       53.28%    518
    Jinx         53.27%   5275
    Kayle        53.27%   1194
    Twitch       53.25%   1510
    Fiora        53.19%   1098
    Garen        53.17%   2556
    Warwick      52.99%   3108
    Zoe          52.94%    323
    Anivia       52.75%    218
    Janna        52.63%    646
    Xayah        52.63%   1482
    Amumu        52.56%   1560
    Yorick       52.50%   2162
    RekSai       52.47%    324
    Samira       52.38%   1638
    Zyra         52.34%   1345
    Camille      52.21%    904
    Tryndamere   52.20%   1180
    Thresh       52.16%   3142
    Nilah        52.12%    637
    MissFortune  52.07%   4784
    Vayne        52.03%   2752
    Zac          52.02%   1163
    Jhin         51.98%   5962
    Gnar         51.97%    964
    Belveth      51.96%    560
    Yasuo        51.91%   1859
    KogMaw       51.89%    634
    Kassadin     51.89%    106
    Naafiri      51.87%   1415
    Nami         51.86%   2333
    Kayn         51.84%   3289
    Urgot        51.82%   1017
    Graves       51.81%   2480
    Xerath       51.78%   1462
    JarvanIV     51.78%   1941
    Aphelios     51.75%   1430
    Nunu         51.68%    863
    Lulu         51.64%   2558
    Brand        51.62%   1232
    Rammus       51.61%    775
    Mordekaiser  51.60%   2430
    Aatrox       51.58%   2790
    Riven        51.56%   1121
    Volibear     51.51%   2741
    Shen         51.51%   1922
    Senna        51.49%   2822
    Viego        51.49%   4040
    Ivern        51.40%    393
    Rell         51.40%   1037
    Bard         51.38%    798
    Shyvana      51.34%    635
